타임스탬프,부산삼겹살 하단본점,억수씨고깃집,숙성고 통삼겹무한리필,고기는모름지기연탄구이 하단점,김해뒷고기,하단돼지갈비 하단본점,고반식당 하단점,하남돼지집 부산하단점,평화김해뒷고기 하단점,족발쌀롱 하단,홍갓츠,다맛,카츠의 하루 ,엉클까스 ,은화수식당 동아대점 ,우연횟집,고성횟집,백호횟집,참치공장,내키고,온센 부산사하구점,하단정,원카츠,정직유부 하단동아대점,미카도스시 부산아트몰링점,더브런치하우스,서가앤쿡 부산하단점,봉대박스파게티 동아대점,보배반점 하단점 ,온나파스타 하단본점,닭도리탕,한옥마을 전주 비빔밥 아트몰링 부산본점,돌담식당,더진국 국밥,김가네 하단동아대점
2023. 5. 29 오후 9:41:44,0,0,0,0,0,0,0,5,0,0,3,4,2,0,4,5,0,0,0,0,3,0,3,4,3,5,0,5,5,3,5,4,4,5,5
2023. 5. 29 오후 9:48:48,0,0,0,0,0,0,0,5,4,0,1,4,2,5,5,4,0,0,0,0,3,0,3,3,2,5,3,4,5,3,0,3,5,5,5
2023. 5. 29 오후 9:53:52,5,5,5,5,3,5,4,4,3,5,2,0,1,5,5,2,2,0,0,4,2,4,3,4,3,4,0,3,5,3,4,4,4,4,4
2023. 5. 29 오후 9:57:12,3,0,4,0,4,0,4,4,5,0,4,4,5,3,4,0,0,0,3,0,4,0,3,4,0,0,4,5,3,4,0,3,0,4,4
2023. 5. 29 오후 9:57:12,0,0,3,3,4,0,0,0,3,5,3,3,0,0,5,3,5,0,0,0,0,5,4,4,0,0,0,0,0,0,4,0,5,3,3
2023. 5. 29 오후 10:01:15,0,0,4,3,3,0,5,4,4,5,0,3,0,0,4,5,0,0,0,0,0,0,0,4,4,4,0,4,4,0,0,0,0,0,0
2023. 5. 29 오후 10:05:39,5,0,4,3,4,0,0,4,5,0,3,2,4,0,5,4,3,0,0,4,2,3,5,5,0,0,3,4,4,3,2,0,0,5,4
2023. 5. 29 오후 10:17:41,3,4,3,4,4,3,3,4,3,3,4,3,4,3,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,3,4
2023. 5. 29 오후 10:19:59,0,0,4,3,4,0,0,0,0,4,4,4,4,0,2,4,0,0,0,0,0,0,3,4,0,0,3,4,0,3,0,0,5,4,3
2023. 5. 29 오후 10:22:36,4,0,3,3,4,3,3,3,0,4,0,0,3,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
2023. 5. 29 오후 10:23:33,0,0,0,0,0,0,0,0,5,0,3,3,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2023. 5. 29 오후 10:25:36,3,0,2,4,4,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,3,0,3,3,0,0,0,3,0,3,0,3,0,4,0
2023. 5. 29 오후 10:25:48,5,0,5,5,5,0,5,5,5,0,0,0,5,5,5,5,5,0,0,0,5,5,0,5,5,1,0,0,5,5,0,0,5,5,0
2023. 5. 29 오후 10:26:14,4,0,3,3,4,0,5,0,2,3,4,4,0,0,3,5,0,0,0,4,3,0,3,3,0,0,0,3,3,3,0,0,4,0,3
2023. 5. 29 오후 10:28:11,4,0,3,4,5,0,5,5,3,0,3,4,3,0,4,0,0,0,0,0,3,0,4,4,0,5,0,4,4,3,5,0,5,4,2
2023. 5. 29 오후 10:32:57,0,0,2,5,5,0,0,0,5,0,0,0,5,4,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,5,0,0
2023. 5. 29 오후 10:34:32,0,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,4,0,5,0,0,4,0,0
2023. 5. 29 오후 10:35:53,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,4,5,0,5,0,4,0,5,0,0,3,0,0
2023. 5. 29 오후 10:36:05,0,0,4,5,4,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,4,0,0,0,0,5,0,0,5,0,5,0,0
